;2023;;;;;;;;2024;;;;;;;;;;;;2025;;;;;;;;;;;;;
;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre;;
Permessi maturati;0,00;8,40;8,80;8,80;8,40;8,80;8,80;8,40;8,80;8,80;8,40;8,80;8,80;8,40;8,80;8,80;8,40;8,80;8,80;8,40;8,80;8,80;8,40;8,80;8,80;8,40;8,80;8,80;8,40;8,80;8,80;8,40;;
Ferie maturate;0,00;13,20;13,20;13,60;13,20;13,20;13,60;13,20;13,20;13,60;13,20;13,20;13,60;13,20;13,20;13,60;13,20;13,20;13,60;13,20;13,20;13,60;13,20;13,20;13,60;13,20;13,20;13,60;13,20;13,20;13,60;13,20;;
Permessi goduti;1,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;16,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;
Ferie godute;0,00;0,00;0,00;32,00;0,00;16,00;0,00;24,00;16,00;16,00;0,00;24,00;0,00;32,00;0,00;32,00;0,00;24,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;
Permessi disponibili;-1,00;7,40;16,20;25,00;33,40;18,20;27,00;35,40;28,20;37,00;45,40;54,20;63,00;71,40;80,20;89,00;97,40;98,20;91,00;91,40;100,20;109,00;117,40;126,20;135,00;143,40;152,20;161,00;169,40;178,20;187,00;195,40;;
Ferie disponibili;0,00;13,20;26,40;8,00;21,20;18,40;32,00;21,20;18,40;16,00;29,20;18,40;32,00;13,20;26,40;8,00;21,20;10,40;24,00;5,20;18,40;32,00;45,20;58,40;72,00;85,20;98,40;112,00;125,20;138,40;152,00;165,20;;
Bella vita disponibile;-1,00;20,60;42,60;33,00;54,60;36,60;59,00;56,60;46,60;53,00;74,60;72,60;95,00;84,60;106,60;97,00;118,60;108,60;115,00;96,60;118,60;141,00;162,60;184,60;207,00;228,60;250,60;273,00;294,60;316,60;339,00;360,60;;
Bei giorni disponibili;-0,13;2,58;5,33;4,13;6,83;4,58;7,38;7,08;5,83;6,63;9,33;9,08;11,88;10,58;13,33;12,13;14,83;13,58;14,38;12,08;14,83;17,63;20,33;23,08;25,88;28,58;31,33;34,13;36,83;39,58;42,38;45,08;;
Di cui aziendali;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
